Anno,Mese,Arrivi_Italiani,Arrivi_Stranieri,Presenze_Italiani,Presenze_Stranieri,Evento
2016,1,50851,164865,123027,381566,1
2016,2,57186,207688,129116,485909,1
2016,3,59704,284756,140969,654659,0
2016,4,59278,320177,136215,759797,0
2016,5,45151,404500,109490,928352,1
2016,6,49767,411492,116646,883142,0
2016,7,43518,510510,100649,1066449,1
2016,8,52152,467730,120337,1023419,0
2016,9,52729,416815,130093,927462,1
2016,10,65991,379410,153989,883038,1
2016,11,55351,232796,130214,541631,0
2016,12,59163,193987,137753,447866,0
2017,1,50116,175498,127679,405244,0
2017,2,59929,221030,136230,528279,1
2017,3,64495,273733,145643,638082,0
2017,4,68517,385731,162359,909880,0
2017,5,49129,411972,121573,962368,1
2017,6,47539,458273,114854,1038478,0
2017,7,42961,542131,103463,1173795,1
2017,8,51012,506915,126574,1146637,0
2017,9,54069,463753,140357,1070072,1
2017,10,59791,442800,142577,1058559,1
2017,11,67696,257180,159925,633720,0
2017,12,63914,216698,143085,496386,0
2018,1,50897,198208,124406,460845,0
2018,2,61916,245554,139682,570272,1
2018,3,60821,320205,138793,735483,0
2018,4,68917,378949,163335,895483,0
2018,5,51825,459745,129189,1075302,1
2018,6,52505,477903,125754,1046465,0
2018,7,48797,560423,118608,1205691,1
2018,8,55059,523029,137426,1166499,0
2018,9,61145,472061,155398,1090519,0
2018,10,61850,439079,153170,1050612,1
2018,11,68606,256500,165542,615097,0
2018,12,64150,217355,150534,504193,0
2019,1,48614,191967,128711,456457,0
2019,2,58247,251649,136203,573082,1
2019,3,78542,321525,176780,749355,1
2019,4,74782,413220,189376,979075,0
2019,5,54670,466399,151035,1091100,1
2019,6,54839,528810,149900,1179615,0
2019,7,50912,582731,142095,1275129,1
2019,8,66627,556932,183043,1263995,0
2019,9,65506,507974,185377,1199152,1
2019,10,72969,492947,178066,1171629,1
2019,11,66851,254041,165416,613880,0
2019,12,54485,208044,132632,477416,0
2020,1,50942,195193,136562,453626,0
2020,2,58604,213398,145203,529000,1
2020,3,5834,9500,0,0,0
2020,4,570,97,18000,94443,0
2020,5,3691,461,36500,0,0
2020,6,30191,21825,91400,0,0
2020,7,49442,95085,139700,0,0
2020,8,76190,166872,192000,436000,0
2020,9,67496,133094,184600,239830,1
2020,10,50519,76784,146900,0,0
2020,11,12303,5931,75100,0,0
2020,12,10304,3300,62700,0,0
2021,1,8077,2353,44822,14585,0
2021,2,16448,6506,57534,24337,1
2021,3,10972,4731,56094,21977,0
2021,4,13706,4464,61437,20216,0
2021,5,66958,38721,156245,107501,1
2021,6,74820,93956,185167,254305,0
2021,7,73954,230964,198810,585105,1
2021,8,98480,309530,262569,830128,0
2021,9,119102,227718,293859,627268,1
2021,10,115330,246124,269902,697735,1
2021,11,71723,134403,178558,400642,0
2021,12,60419,91435,129785,249306,0
2022,1,46598,50660,111022,135164,0
2022,2,71117,116485,140691,293560,1
2022,3,75806,175335,157129,449398,1
2022,4,94537,316664,196556,826553,1
2022,5,75524,353559,154675,895017,0
2022,6,69084,427013,146866,1003122,0
2022,7,58508,522378,128543,1175323,1
2022,8,69088,487008,153147,1140677,0
2022,9,75021,440195,168475,1043041,1
2022,10,87210,433648,176282,1061081,1
2022,11,76590,250124,154254,621386,0
2022,12,70629,203579,145420,469082,0
2023,1,63442,181744,146394,417734,0
2023,2,72908,243499,151007,586313,1
2023,3,75326,318010,154488,733476,0
2023,4,82559,441200,181037,1035631,0
2023,5,58275,482029,126233,1111703,1
2023,6,57837,528863,126776,1140743,0
2023,7,54146,591086,112965,1244372,1
2023,8,55877,561324,120857,1218221,0
2023,9,63101,511397,140996,1133762,1
2023,10,65088,500216,135366,1145355,1
2023,11,68309,283587,145147,647322,0
2023,12,71280,233508,155538,516643,0
2024,1,58432,201478,140047,456024,1
2024,2,74566,280318,160375,647463,1
2024,3,74354,368584,165408,842978,0
2024,4,72646,449451,168091,1066259,1
2024,5,60967,554076,136400,1275585,0
2024,6,53408,548445,125086,1191744,0
2024,7,49165,599999,119859,1274904,1
2024,8,56981,550671,138355,1198530,0
2024,9,56126,517824,134463,1171856,1
2024,10,63228,510913,131886,1202879,1
2024,11,83211,293761,177313,697085,0
2024,12,62439,235754,138214,530169,0
